Locations,Latitude (X),Longitude (Y)
Turkana,0.682029,37.886963
Losesia,0.571772,38.380354
Boji,0.567568,38.333247
Manika,-2.128014,38.082817
Dudubata,0.661627,7.8275933
Lekiundi,0.50148,37.643804
Kubichafa,0.660327,37.926633
Barrdena,0.648369,38.034866
Kubi Obe,0.764506,38.129161
Kulusasya,0.559327,37.994101
Kugamarrto,0.605321,38.266838
Lakadimo,0.519025,38.025875
Yakabuti,0.531197,38.049881
Shaba Dogo,0.665292,37.707618
Lembolia,0.427234,37.829456
Notorbe,0.812674,37.676924
Lekiundi,0.635941,37.703722
Kitogani,1.853525,38.764679
Kuka,0.457895,38.116663
Naathu,0.432184,37.944783
lkombo,0.324219,37.900341
Chandumbi,0.295218,37.880977
Mukululu,0.257888,37.898476
Mikinduri,0.121032,37.83685
Maroruye,0.226279,37.55034
Kuteri,0.477652,38.26632
Kinna,0.335688,38.195555
Ngawa,0.318172,37.933317
Buligunguru,0.242435,37.71666
Kanyomba,0.142923,37.599571
Antubaiga,0.159609,37.810576
Meru,0.051855,37.645573
Ngaya,0.355009,37.922804
Rumongo,0.681134,38.016157
Mula,0.450278,37.764258
Isiolo,0.351105,37.586212
Kampi-Ya-Chumvi,0.437624,37.632646